Name,Time,Salon Name,CID,Phone,Owner,Note,Status,Date
Phương Anh,08:42:00.684000,UV NAIL & SPA,09529,9109859999 / FB Chinh Nguyen,Mr Jackie,"UV NAIL & SPA
Christmas is coming!
Enjoy 10% OFF all services
NOW to 12/31/25
*Show text
22 The Square, Lillington
Appt: 910-984-1070
=> Tiệm đã confirm nội dung, nhờ chị Loan gửi ra cho các khách ở tiệm giúp em",Done,2024-12-01
Tuấn Võ,08:45:15.756000,HOLLYS NAILS SPA,07852,9382559433,Mr,"Ticket 2502-008-007 (MC 7883, $203.80) ngày 11/29 Appcode: 05570Z Missed $35 RefNo11 cần charge lại
-> nhờ chị Loan chỗ trợ ạ",Done,2024-12-01
Liên Chi,08:45:30.080000,KK NAILS SPA       , TX_10952,3465893979,     Mr ,"KK NAILS SPA        TX_10952        3465893979        Mr 

KK NAILS SPA
2 persons=10% OFF
3 persons=15% OFF
4+persons=20% OFF
Exp 01/30/26
@2750 FM 1463 Rd Katy
2813914444 
kknailskaty.com   

He confirm nội dung, send out all cust (5320)
Nhờ chị @⁨LLLteck - Chị Loan⁩ send out giúp tiệm ạ.",Support,2024-12-01
Hương Giang,08:46:16.586000,BAY COLONY NAIL SPA WEBSTER ,TX_09772,281-948-2884,Ms,"BAY COLONY NAILS-Webster 
CYBER MONDAY-TODAY ONLY
20% off all services
*Must show text
T: 281-317-7321
> Nhờ chị Loan soạn lại nội dung SMS giúp KH",Done,2024-12-01
Liên Chi,08:46:35.779000,AURA NAILS	,07463,0746/Hilary,Ms,Miss call - call lại không nghe máy,Done,2024-12-01
Hương Giang,08:48:18.804000,RIO NAILS & SPA,11646,941-769-5011,Ms," Enable 2% Surcharge Needed
- A920 with the serial number 1850865714
- E800 (S/N: 1070050817) with the serial number of Q20 1140123282
> gọi voicemail, text imess",No answer,2024-12-01
Tuyết Anh,08:50:18.966000,MODERN NAILS & LASH	,09504,7208786867,Ms,"She hỏi đã refill sms xong chưa. Nhờ she take time trong hôm nay, khi nào refill xong sẽ gửi she receipt. ",Done,2024-12-01
Liên Chi,08:56:56.455000,UV NAIL & SPA,09529,9109859999,Mr Jackie,"Nhờ he confirm sms - nhưng số phone he cc không có imess, call lại voice mail",Done,2024-12-01
Hương Giang,08:56:12.136000,BAY COLONY NAIL SPA WEBSTER ,TX_09772,281-948-2884,Ms,"BAY COLONY NAIL SPA WEBSTER
CYBER MONDAY Deal
20% OFF all service
Hurry! TODAY ONLY 
*Must show text
144 El Dorado Blvd
T: 281-317-7321
> gửi KH edit
---------------------------------------
KH nhờ edit thành Cyber week deal
12/1-30%
12/2-25%
12/3-20%
12/4-15%
12/5-10%
> nhờ chị Loan edit giúp KH ",Done,2024-12-01
Tuyết Anh,08:58:20.616000,SIGNATURE NAIL SPA,10616,9192744158,Ms,"She muốn nhận giấy reciept. She báo she không có số Ae, gửi she số ISO nhờ she liên hệ. ",Done,2024-12-01
Anh Thư,09:09:57.540000,MOSAIC NAIL SPA,09583,7036068818,Ms,"Tiệm báo mở app ko dc, do bị smart app block -> turn off smart app -> work",Done,2024-12-01
Phương Anh,09:00:01.393000,N.5 NAIL BAR,08499,8083926691,Ms. Tina Dinh,Tiệm nhờ đổi giá menu ở tiệm,Done,2024-12-01
Hương Giang,09:02:27.143000,LNB DUNWOODY,GA_10267,678-488-5982,Ms Trinh,KH nhờ spilt serv #751 ngày 11/29,Done,2024-12-01
Tuyết Anh,09:04:23.901000,UNIQUE NAILS MIDTOWN,08019,6784885982,,"Miss call FT, call lại không bắt máy",No answer,2024-12-01
Tuyết Anh,09:05:36.271000,DREAM NAIL DAY SPA,11820,4705352631,Ms,"She call báo nhờ trainning tiệm mới. Check thấy tiệm hôm qua Thư đã training rồi. Chuyển line Thư support tiệm. 
""470-535-2631 - sean
TRAINING
1ST Merchant
DREAM NAIL DAY SPA
11820
AMY NGUYEN
3133997624 / 7705361411
--------
Dạ em đã training cho tiệm
Máy E800
- HD Main Screen, PMT
- HD GC
- HD Report & Settlement
=> Em đã HD tiệm test và settelment $1.50. Dạ em done tiệm ạ""
",Done,2024-12-01
Tuấn Võ,09:14:04.511000,OCEAN NAIL SPA	,08358,3307587355,Ms,KH nhờ block appt online ngày 12/01 - 12/08  & cancel hết appt từ ngày 12/01 - 12/08,Done,2024-12-01
Phương Anh,09:14:22.176000,A LA MODE NAILS & SPA,NJ_08219,973-896-0368,Ms Kate,"A LA MODE NAILS & SPA
Holiday Specials!
$8 OFF Refill & Pedi
Buy $100 GC get $10 Bonus
Mon-Fri, EXP 12/05/25
Call: 973-553-2282
=> Tiệm đã confirm nội dung, nhờ chị Loan gửi ra cho các khách ở tiệm giúp em",Done,2024-12-01
Liên Chi,09:15:14.103000,BAMBOO NAILS SPA,09551,7572542943,Ms,Q20 - all keys... -> cc số MAC,Done,2024-12-01
Phương Anh,09:30:03.519000,K NAILS AND SPA,10836,4302351144,Ms,Tiệm nhờ chỉnh lại lương của Nick và Bill tuần 11/24 - 11/30,Done,2024-12-01
Anh Thư,09:17:33.166000,DREAM NAIL DAY SPA,11820,4705352631,Ms,HD bán GC,Done,2024-12-01
Hương Giang,09:19:08.743000,CALLA NAIL SPA,GA_11493,404-488-5399,Ms Như,"ngày 11/29 bankcard missed ref no 1 KH báo thiếu ticket khoảng $107, nhờ chị Loan check với ISO lấy thông tin để add giúp KH 
>cf add #099($107.62, VS-5245, ref no 12) cho Helen & add #086($55.35, AM-1001, ref no 1) cho Lena",Done,2024-12-01
Tuấn Võ,09:20:52.321000,V NAILS & SPA	,06366,7044585340,Ms,KH nhờ connect SP30 với Tablet -> worked,Done,2024-12-01
Tuyết Anh,09:21:11.356000,HER'S SALON AND SPA,11417,3468275577,Mr,Tiệm báo khách không booking appt online được. Test thử thấy sau khi nhập số phone vào thì không hiện phần info phía sau để cust chọn. Nhờ chị Loan báo kỹ sư check giúp tiệm ạ. ,Support,2024-12-01
Hương Giang,09:23:44.732000,LOTUS SPA & NAIL	,11713,6107816236,Ms,"HD thao tác Void #061
-KH muốn setup fee charge thẻ $2/trans > nhờ gọi richspaagent",Done,2024-12-01
Tuấn Võ,09:23:44.732000,CONCEPT NAILS & SPA,07232,7275339448,Ms,"CONCEPT NAILS & SPA - 33760
USER : conceptnailsspa
PW: Abcd123$
CID: 07232
Verify : 98131
nhờ team support connect printer for mc ạ, thanks team
(813) 993-2431",Done,2024-12-01
Tuyết Anh,09:27:25.441000,VUVUZELA NAIL SPA,05317,5049391555,Mr,"VUVUZELA NAIL SPA
15% OFF 9AM-1PM
10% OFF 1PM-Closed
Not Valid W/Other Offers
EXP 12/07/25
Call: 281-944-9171
Reply STOP to opt out

He nhờ sent ra 1 sms cho số phone he: 5049391555 để he check trước
=> Nhờ 2 chị hỗ trợ sent ra giúp he ạ. 
=> => He muốn sent sms all cust từ đầu năm 01/01/2025 - 12/01/2025 (3790) 
Nhờ 2 chị sent ra giúp tiệm ạ. ",Done,2024-12-01
Liên Chi,09:35:54.155000,LUV NAILS,NC_05675,5715317867,Ms,"HD xem settelment 
HD in day end process",Done,2024-12-01
Chiến Phạm,09:30:01.293000,JACLYN NAIL BAR	,11507,7815139212,Ms,"Giải thích income của thợ, fix lại turn serv ",Done,2024-12-01
Phương Anh,09:32:45.411000,CONYERS NAIL LOUNGE,09103,4044036193,Ms. Phượng,"Tiệm báo vào app không được, đã install lại app cho tiệm",Done,2024-12-01
Tuyết Anh,09:36:45.208000,MODERN NAILS & LASH	,09504,7208786867,Ms,She nhờ block số phone cust Peggy Fajohn - 804-337-6180,Done,2024-12-01
Anh Thư,09:37:16.574000,Deluxe Nails & Spa,11592,(713)557-4178,Ms,HD clockin,Done,2024-12-01
Tiến Dương,09:40:31.965000,VILLAGE NAIL BAR,11422,4045130091,Ms,"She check tiền về nhà bank, sao ko khớp => Request she call TMS để dc hỗ trợ ",Done,2024-12-01
Đạt Trương,09:41:26.307000,PHOENIX NAILS & SPA,10378,4702953529,Ms.Thảo,#320 chia lại tip của 3 thợ,Done,2024-12-01
Phượng Hồ,09:45:07.451000,BAY COLONY NAIL SPA WEBSTER ,TX_09772,281-948-2884,Ms,"BAY COLONY NAIL SPA WEBSTER
CYBER WEEK DEALS!
12/1-30%
12/2-25% 
12/3-20%
12/4-15% 
12/5-10%
*Must show text
T: 281-317-7321
> gửi KH confirm. KH OK nhờ các chị send cusr từ 12/01/2024-now giúp",Done,2024-12-01
Phượng Hồ,09:49:20.137000,METIME NAIL BAR,10348,8325077549,Mr Khánh,get IP S300,Done,2024-12-01
Liên Chi,09:50:29.148000,GLAMOUR NAILS,11535,7065046386,Ms ,She muốn đổi bank acct -> cc số spoton ,Done,2024-12-01
Hương Giang,09:50:32.951000,NOIRE THE NAIL BAR 9240,09224,7705687427,Ms Vân,"KH nhờ request phần salon side note & remarks sẽ hiển thị bên ngoài  schedule APPT mà không cần phải bấm vào mới thấy phần remark đã note
> nhờ các chị chuyển kỹ sư xem xét giúp KH ",Support,2024-12-01
Chiến Phạm,09:56:45.548000,SERENITY NAIL SPA,06372,2565321218,Ms Vy,HD connect lại WF A920,Done,2024-12-01
Anh Thư,09:59:20.923000,Crystal Nail Spa,07127,2548335122,Ms,"Jocelyn comm 6/4 ck rate 100%, tip reduction 3%",Done,2024-12-01
Tiến Dương,09:58:02.763000,	ZENITH NAIL LOUNGE,11787,9196002769,Ms Kelly,"cập nhật dt tất cả thợ của tiệm  và gửi verify code 
hd LOG IN VÀO APP Tesalon và LLDSalon",Done,2024-12-01
Liên Chi,09:58:38.642000,HOT NAILS & SPA,TX_10410  ,832 380 1688 ,Ms,"HOT NAILS & SPA	TX_10410  	832 380 1688 	Ms

Xmas Special!
20% OFF Full set & pedicures 
Ends 12/24/25
HOT NAILS & SPA
@9222 Louetta Rd Ste 102 Spring TX
Call 832-717-7290

She confirm nội dung, send out total cust (169). 
Nhờ chị @⁨Dung Nguyen⁩ @⁨LLLteck - Chị Loan⁩ send out giúp tiệm ạ.",Done,2024-12-01
Đạt Trương,09:59:32.893000,MILANO NAIL SPA,10102,8329971794,Ms,HD she cust black list,Done,2024-12-01
Tuấn Võ,09:59:51.488000,NOIRE THE NAIL BAR,09943,2393155940,Mr. Vương,KH fix ticket của thợ Jenny refund lại tiên cho cust nhưng ticket của tháng 11 -> khách hỏi là sẽ trừ lương thợ vào 12/01 hay lương tháng 11 -> báo khách là 12/01 => khách okay,Done,2024-12-01
Hương Giang,10:04:35.482000,REFINE NAILS & SPA,10962,6305182360,Ms Tiên,enable Rondom trên online booking ,Done,2024-12-01
Tuyết Anh,10:04:31.186000,CRYSTAL NAILS,09062,2817160663,Ms,"She muốn sent sms nội dung:

Dec SPECIAL!
Unlock 10% OFF when pay with CASH
Mon to Thurs 
EXP:12/31/25
Show text 
CRYSTAL NAILS
2815545462
3141 FM 528 Rd #300

=> Nhờ 2 chị sent ra all cust giúp tiệm ạ.
=> Đợi refill sms",Support,2024-12-01
Tuấn Võ,10:21:07.065000,CHIC & CHARM NAILS SPA	,11724,5128032720,Ms,"Dạ hi lldtek @everyone, 
CHICCHARMNAIL  - CID : 11724.
Ms Loi-new owner-5128032720.
Lldtek pc, a35, tablet check in. dual 2.9%.

Tiệm này em mới redownload terminal for owner change nhờ Team hỗ trợ trên Pos:
01) Update new information, em đã email to lldtek team.
02)  New owner muốn đổi lại passcode.
03)  App trên phone của new ower không login được.
04)  App check in tablet không login được (tablet có internet).
05) Check xem Pos đã có Dual 2.9% hay chưa
06) Gửi thông tin login licence to new owner.
07) User name licence she muốn đổi lại.
- Gửi email cho khách info@level3tek.com để khách dùng email request đổi new password
- HD khách login vào LLDsalon & Echeckin
- Gửi user login qua phone cho khách
- Thấy Menu đã run Dual 2.9 %",Done,2024-12-01
Phượng Hồ,10:05:38.520000,MODERN NAIL BAR,07985,4044296361,Ms. Nancy,fix dedection thợ ,Done,2024-12-01
Chiến Phạm,10:07:16.892000,LOTUS SPA & NAIL	,11713,6107816236,Ms,HD connect keyboard vào máy,Done,2024-12-01
Hương Giang,10:07:35.781000,NAIL TRENDZ,GA_11602,561-291-1254 / 912-387-4403,Hoai Sinh Cao,"khách không nhận được SMS gởi ra khi book hẹn
>check ko thấy setup sms gửi ra của APPT, giải thích và confirmed KH muốn setup reminder trc 1 ngày ",Done,2024-12-01
Liên Chi,10:08:31.536000,VIP NAILS	,GA_10940        ,4785423303,Ms,"CC vericode Emma: 919491 
HD đăng nhập TESALON",Done,2024-12-01
Anh Thư,10:08:48.712000,MAJESTIC DAY SPA,11345,3042081068,Ms,"She muốn refill sms, đã cc số mac",Done,2024-12-01
Phượng Hồ,10:08:48.712000,Lotus Nails Day Spa,FL_08695,huyentran092877@icloud.com ,Ms Huyền,"đổi passcode 59287
tạo pass cho staff Lotus để thợ nhập disc pmt screen",Done,2024-12-01
Đạt Trương,10:10:00.660000,ROYAL RETREAT PEDI SPA,11556,3372559577,Ms,She nhờ remove giúp các services,Done,2024-12-01
Sanh Lưu,10:11:02.233000,MAJESTIC DAY SPA,11345,3042081068,Ms. Tâm,"She hỏi sao fill sms giờ phải gọi bên MAC, đã có giải thích là phần fill sms là MAC handle",Done,2024-12-01
Phương Anh,10:14:36.002000,American Nail Bar,11266,4697409092,Ms Nhàn,"50% off cho second serv 
từ thứ 2 đến thứ 5 10AM - 4PM
12/15/2025
Show text
=> Tiệm muốn soạn sms gửi ra cho khách ở tiệm, nhờ 2 chị hỗ trợ giúp em, em cảm ơn ạ",Done,2024-12-01
Đạt Trương,10:13:21.276000,LAVISH NAIL LOUNGE AND SPA,10489,7147561214,Ms Jade,"KH nhờ gửi acct login info qua mail: JADELUU79@GMAIL.COM
Username: lavishnail10489
Password: Abcd123$
CID: 10489
Verify code: 81005
=> Nhờ 2 chị gửi giúp tiệm ạ",Done,2024-12-01
Phương Anh,10:14:38.345000,American Nail Bar,11266,4697409092,Ms Nhàn,"Tiệm muốn refill $100 - 5.000SMS, nhờ 2 chị hỗ trợ giúp em
Thông tin thẻ: 5474-xxxx-xxxx-2358
EXP: 08/29",Support,2024-12-01
Liên Chi,10:13:32.686000,TRENDY NAILS AND SPA,10047,2703204079,Ms,HD connect và get ip pinpad ,Done,2024-12-01
Tiến Dương,10:14:41.674000,DAZZ NAILS SPA,09655,7164453430,Mr. Dzuy,Get ip S300,Done,2024-12-01
Sanh Lưu,10:17:02.513000,WAVE NAIL,07493,6126666888,Mr Trí,He bảo app nãy không vào được nhưng giờ vào được rồi,Done,2024-12-01
Sanh Lưu,10:14:53.355000,DELUXE NAILS ATX,09600,5125071116,Ms Eng,She nhờ check lại payout của thợ Jas,Done,2024-12-01
Anh Thư,10:15:28.043000,MANSION NAILS & SPA,10567,3252848352,Mr Tony,"Tiệm báo ko charge dc tiền, đã HD reboot connect lại wifi -> work",Done,2024-12-01
Hương Giang,10:17:25.727000,NAIL TRENDZ,GA_11602,561-291-1254 / 912-387-4403,Hoai Sinh Cao,"KH báo cust vào website https://nailtrendzwaycross.com/ book APPT nhưng ko work, nhờ các chị chuyển bộ phận liên quan check lại cho KH, em gửi kèm link online của tiệm https://www.lldtek.org/salon/appt/UjBGZk1URTJNREk9",Support,2024-12-01
Sanh Lưu,10:19:58.643000,FOR YOUR NAILS ONLY,07338,2136686868,Ms Hạnh,"Báo she về việc gửi dây sạc sẽ take a long time, nên nhờ she ra Target gần tiệm để mua cho nhanh, đã gửi link địa chỉ và hình sản phẩm cho she",Done,2024-12-01
Đạt Trương,10:20:58.907000,NAIL II,PA_11801,"4124868181
FT 4126203334",Ms Hoàng,"TRAINING
Defyne VN Payment
S300 S/N: 5G066658
HD Pmt, Void ticket, tiệm không lấy tip
HD bán và GC Pmt
HD Appt, Report, Check-in & Out cust
HD tải lldcheck-in và LLDsalon
=> Test trans $1.11 và close batch. Khách nhờ set cycle lương theo bi monthly ,nhờ 2 chị set giúp tiệm và nhờ iso check trans sớm giúp tiệm ạ",Support,2024-12-01
Phương Anh,10:28:45.547000,ELEGANT NAIL LOUNGE,11637,4049214835,Mr,"Cung cấp thông tin thẻ để RF lại $60 tip của ticket 2501-002-719 ($125, VS 7224) ngày 11/30 qua ticket 2501-002-736 ($60, Other) ngày 12/01",Done,2024-12-01
Chiến Phạm,10:23:27.931000,ACTON NAIL & SPA,09589,6823133428,Ms,HD connect lại WF E800 và A920,Done,2024-12-01
Phượng Hồ,10:23:23.693000,CRYSTAL NAIL BAR,11477,9808003982,Ms Vy,"4036 2301 xxxx 4457 - exp 08/29
$50 - 2000sms
> nhờ các chị chuyển billing giúp",Support,2024-12-01
Tuyết Anh,10:24:21.443000,AE Spoton,,8323535343,Ms,She nhờ call support tiệm FT : 713-557-4178 / CID 11592,Done,2024-12-01
Tuyết Anh,10:25:14.680000,Deluxe Nails & Spa,11592,713-557-4178,Ms,"Ngày 11/29, Add #2501-300-4146 (Visa 2450, $151.20) Refno 3. She báo cứ add lên cho owner Brandon trước, tiệm sẽ tự làm việc lại với thợ. Add $126 tiền service + $25.20 tiền Tip.
Ngày 12/01/2025, #GC 2513-000044 /  GC MSRID 0331-2505-31 (VS 4192, $200) Refno 1. Bankcard đã charge được tiền, nhưng balance GC vẫn show $0. 
=> Nhờ 2 chị check giúp tiệm ạ. 
=> tam thời đã fix lại ticket, GC có balance rồi nhe e
=> Đã call lại báo she fix done. She ok",Done,2024-12-01
Phượng Hồ,10:26:34.249000,CRYSTAL NAIL BAR,11477,9808003982,Ms Vy,"10% OFF serv $40+
#Valid til Dec 31st 2025.
> Nhờ các chị soạn lại giúp",Done,2024-12-01
Liên Chi,10:26:07.499000,NAIL DESIGN,NY_10297,5857332638,Ms ,"Add tech 
JUNY-585 469 4215 
Comm: 6/4 ck rate: 0/10",Done,2024-12-01
Sanh Lưu,10:26:55.113000,UV NAIL & SPA,09529,9109859999,Mr Jackie,She nhờ check lại code thợ Ken,Done,2024-12-01
Tuấn Võ,10:30:20.312000,RUBY SALON SUITE	,11763,7575464640,Ms. ,"HD khách login Tesalon
Setting reminder trước 1 ngày appt
Khách nhờ refill $50/2000SMS - thông tin thẻ:4427-****-****-2969 Exp:11/30
=> nhờ 2 chị hỗ trợ ạ ",Support,2024-12-01
Sanh Lưu,10:29:16.424000,STAR NAILS,06548,7176082400,Ms. Tina,"Nhờ team help mc charge thêm $33 nhé. Thank you
=> Gọi Ms Tina không nghe máy, gọi lên tiệm thì báo Ms Tina không có ở tiệm, nhờ thứ 4 gọi lại ạ > đã charge ngày 12/02",Done,2024-12-01
Anh Thư,10:29:41.648000,Q NAILS LOUNGE,10289,5202688185,Ms, tech Ha vacation từ 12/2 - 12/10 ,Done,2024-12-01
Tuấn Võ,10:30:57.339000,NAIL SHADOW CUMMING	,11656,7073181146,Ms,Missed call -> gọi không nghe máy,No answer,2024-12-01
Tuấn Võ,10:31:13.948000,NAILS AND MORE,06712,7708176245,Ms,"HD khách tạo ticket other refund $69 2502-026-771 (MC 1502, $69) ngày 12/1",Done,2024-12-01
Chiến Phạm,10:33:52.642000,ELITE NAILS & SPA,10028,6784819006,Ms Sinh,"Cung cấp thông tin thẻ để RF lại $10 ticket 2501-022-735 ($23, VS 0464) ngày 11/26
=> C.c số thẻ RF qua GC ảo cho Cust",Done,2024-12-01
Hương Giang,10:34:48.005000,V-STAR NAILS,10181,4709978857,Ms Vân,"KH nhờ gửi acct login LLDSalon qua mail Vanngo.us79@gmail.com
> nhờ các chị gửi giúp KH ",Done,2024-12-01
Anh Thư,10:37:59.369000,AE Blue Bird,,(202)790-2924,Alice Bien,"AE hỏi merchant có thể edit thợ và service ko, đã báo dc
CID 11768 - AE hỏi là A35 sao vẫn chưa connect được và báo là bấm số tiền để charge, AE nói cần setting phần void to sale gì đó, đã có nhờ AE gửi lại thông tin cho bên mình rồi mình sẽ gọi check với tiệm, AE ok và nói để confirm lại tiệm trước",Done,2024-12-01
Liên Chi,10:39:10.062000,A NAILS AND SPA,06803,6788343665,Mr. Tân,"He báo máy worked, không cần support nữa. ",Done,2024-12-01
Phượng Hồ,10:39:30.338000,CRYSTAL NAIL BAR,11477,9808003982,Ms Vy,"CRYSTAL NAIL BAR
Happy Holidays!
10% OFF all service $40+
#Valid til Dec 31st 2025
4819 Shopton Rd W #C, Charlotte
Call : 980-237-6432
> đợi KH cf",Support,2024-12-01
Sanh Lưu,10:39:51.148000,ARIA NAIL BAR,08386,4699883368,Mr. Thanh,"He bảo hôm nay appt khách tên Abigail 214-385-1128 có book lúc 2pm, nhưng check trong appt không thấy nên he book lại lần nữa, check trong report thì thấy là có report ghi nhận book appt ngày 12/01/2025 vào ngày 11/16/2025, đã nhờ he follow lần sau đừng book lại, gọi mình double check trước xem bị gì, he ok",Done,2024-12-01
Phương Anh,10:49:31.661000,V NAILS,07450,4707556169,Mr. Jason,"Tiệm báo tiền vào bank bị lệch, check thấy đúng tiền. Giải thích cho tiệm về other payment",Done,2024-12-01
Liên Chi,10:46:10.103000,LUXURY Nails & Spa,11113,8508228888,Ms ,HD get IP A920 với PC,Done,2024-12-01
Chiến Phạm,10:48:33.020000,5th NAILS LOUNGE,TN_05898,,Mr,"A35 connect WF bị nhỷ IP, đã đổi ethernet fix lại static ip đã work",Done,2024-12-01
Phượng Hồ,10:47:31.380000,VALEN NAILS & BEAUTY,07655,3145468410,Mr,"11/30 #2505-004-805 $60 MC 1439, AC 462430 - Miss tip $10
> Nhờ các chị request SPOTON giúp",Support,2024-12-01
Hương Giang,10:48:42.781000,Crystal Nail Spa,07127,2548335122,Ms,"Jocelyn comm 6/4 ck rate 100%, tip reduction 3%
-KH muốn edit từ 11/26 > đã edit",Done,2024-12-01
Anh Thư,10:51:58.479000,NAILS ART,06761,	2292735650,Ms,"Add tech Mai comm 60%, ck rate 70%",Done,2024-12-01
Phương Anh,10:54:35.952000,American Nail Bar,11266,4697409092,Ms Nhàn,"AMERICAN NAIL BAR
50% OFF 2nd serv (equal/lesser value)
Mon-Thu, 10AM-4PM
EXP: 12/15/25
*Show text
8845 Gary Burns Dr #130
(469)2008232
=> Tiệm đã confirm nội dung, nhờ 2 chị gửi cho các khách đến tiệm từ 06/01/2025 - 12/01/2025",Done,2024-12-01
Sanh Lưu,10:54:14.874000,ALLURE NAILS & SPA,08158,6142881653,Mr Khoi,"He nói hiện tại từ nay tới cuối tuần muốn tiền charge được hold lại không về bank account hiện tại, đợi khi có bank mới thì he sẽ thêm vào và đóng máy số tiền của tuần này, đã C.c số TMS cho he ",Done,2024-12-01
Hương Giang,10:54:25.508000,Legacy Nails & Spa	,11757,8034660831,Mr,HD add amount + vào serv ,Done,2024-12-01
Tiến Dương,10:55:42.392000,	ZENITH NAIL LOUNGE,11787,9196002769,Ms Kelly,"- Tính turn by service $38 =  turn
- Tiền clean up - $10 
- Emily và Julie ăn chia 5/5, CK: 100% . Ngày bắt 12/01/2025 và trừ 20% tip deduction
- Tami và Kaylee ăn chia 6/4, CK: 100%. Ngày bắt đầu 12/01/2025  trừ 10% tip deduction
- Debie, One, Don ăn chia 6/4. CK: 70%. Ngày bắt đầu 12/01/2025  trừ 10% tip deduction
- Terri ăn chia 6/4, CK: 60%. Ngày bắt đầu 12/01/2025  trừ 10% tip deduction
- Fany ăn chia 4/6, CK: 100%. Ngày bắt đầu 12/01/2025  trừ 10% tip deduction
- Cana ăn chia 5/5, CK: 100%. Ngày bắt đầu 12/01/2025  trừ 10% tip deduction
- Kim, Athony, Kelly ăn chia 6/4, CK: 100%. Ngày bắt đầu 12/01/2025  trừ 10% tip deduction
- Briteny receiption: $16/h, tip: 100% ",Done,2024-12-01
Phương Anh,11:03:32.255000,CITY NAILS & SPA,11122,4048349379,Ms,Tiệm nhờ cung cấp vericode cho thợ Huu,Done,2024-12-01
Liên Chi,11:00:19.369000,V NAILS,07450,4707556169,Mr,HD tiệm check # thanh toán bằng other pmt. Gửi hình các # thanh toán bằng other từ 09/25-11/25 qua imess cho he,Done,2024-12-01
Đạt Trương,11:00:19.368000,FANTASY NAILS & SPA,08556,FB Thuan Tran,Mr. Thuận,"He cần send out sms promo, nhờ he gửi nội dung giúp để soạn lại bên mess",Done,2024-12-01
